USER               PID  %CPU %MEM      VSZ    RSS   TT  STAT STARTED      TIME COMMAND
root              3951   0.0  0.0 426945888   2560   ??  Ss    8:40AM   0:00.03 /System/Library/PrivateFrameworks/AppleCredentialManager.framework/AppleCredentialManagerDaemon
kamalbush         3930   0.0  0.1 431343440   7360   ??  Ss    8:36AM   0:00.07 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.Networking.xpc/Contents/MacOS/com.apple.WebKit.Networking
kamalbush         3927   0.0  0.1 426953552   7504   ??  S     8:36AM   0:00.15 /System/Library/PrivateFrameworks/WebPrivacy.framework/webprivacyd
kamalbush         3871   0.0  0.0 426913024   1952   ??  S     8:32AM   0:00.04 /System/Library/CoreServices/ReportCrash agent
root              3860   0.0  0.0 426912544    464   ??  Ss    8:32AM   0:00.02 /usr/libexec/dirhelper
kamalbush         3834   0.0  0.2 426964864  14832   ??  S     8:30AM   0:00.45 /System/Library/PrivateFrameworks/OnDeviceStorage.framework/Support/amsondevicestoraged
kamalbush         3832   0.0  0.1 426966768  11536   ??  S     8:30AM   0:03.09 /usr/libexec/replayd
kamalbush         3831   0.0  0.2 426966320  15488   ??  S     8:30AM   0:00.52 /System/Library/PrivateFrameworks/AppleMediaServicesUI.framework/amsengagementd
kamalbush         3830   0.0  0.2 426967856  18048   ??  S     8:30AM   0:00.89 /System/Library/PrivateFrameworks/AppleMediaServices.framework/Resources/amsaccountsd
kamalbush         3828   0.0  0.2 411439328  20592   ??  Ss    8:30AM   0:00.64 /System/Library/Frameworks/AppKit.framework/Versions/C/XPCServices/ThemeWidgetControlViewService.xpc/Contents/MacOS/ThemeWidgetControlViewService
kamalbush         3827   0.0  0.2 427018864  18896   ??  S     8:30AM   0:00.66 /System/Library/PrivateFrameworks/PaperKit.framework/Contents/LinkedNotesUIService.app/Contents/MacOS/LinkedNotesUIService
kamalbush         3814   0.0  0.1 426988912  11824   ??  Ss    8:29AM   0:00.15 /System/Library/ExtensionKit/Extensions/AudiovisualThumbnailExtension.appex/Contents/MacOS/AudiovisualThumbnailExtension
