USER               PID  %CPU %MEM      VSZ    RSS   TT  STAT STARTED      TIME COMMAND
root               965   0.0  0.1 411181552   4704   ??  Ss    1:12PM   0:00.87 /System/Library/PrivateFrameworks/CloudTelemetry.framework/Versions/A/XPCServices/CloudTelemetryService.xpc/Contents/MacOS/CloudTelemetryService
root               966   0.0  0.0 411181856   3200   ??  Ss    1:12PM   0:01.49 /System/Library/PrivateFrameworks/XprotectFramework.framework/Versions/A/XPCServices/XProtectBridgeService.xpc/Contents/MacOS/XProtectBridgeService
root               968   0.0  0.0 426951920   3088   ??  S     1:12PM   0:00.31 /usr/sbin/systemstats --logger-helper /private/var/db/systemstats
kamalbush          964   0.0  0.1 426955376   6688   ??  S     1:12PM   0:00.21 /System/Library/PrivateFrameworks/TextToSpeechVoiceBankingSupport.framework/Support/voicebankingd
root               700   0.0  0.1 426953808   8224   ??  Ss    1:12PM   0:00.89 /System/Library/CoreServices/SubmitDiagInfo server-init
kamalbush          924   0.0  0.0 426916288   3216   ??  S     1:12PM   0:00.05 /System/Library/Frameworks/CryptoTokenKit.framework/ctkahp.bundle/Contents/MacOS/ctkahp
kamalbush          922   0.0  0.2 426997712  13232   ??  S     1:12PM   0:00.59 /System/Library/CoreServices/TextInputSwitcher.app/Contents/MacOS/TextInputSwitcher
kamalbush          906   0.0  0.1 427004288  12480   ??  S     1:12PM   0:04.30 /System/Library/PrivateFrameworks/CoreSpeech.framework/corespeechd
kamalbush          912   0.0  0.0 426950176   3584   ??  S     1:12PM   0:00.10 /System/Library/Image Capture/Support/icdd
kamalbush          905   0.0  0.2 426962512  14928   ??  S     1:12PM   0:06.61 /System/Library/PrivateFrameworks/HearingCore.framework/heard
kamalbush          917   0.0  0.2 411567648  17584   ??  S     1:12PM   0:00.68 /System/Library/CoreServices/TextInputMenuAgent.app/Contents/MacOS/TextInputMenuAgent
kamalbush          915   0.0  0.1 410980224  10400   ??  S     1:12PM   0:00.25 /System/Library/CoreServices/AirPlayUIAgent.app/Contents/MacOS/AirPlayUIAgent --launchd
root               920   0.0  0.0 426916256   2544   ??  Ss    1:12PM   0:00.07 /System/Library/Frameworks/CryptoTokenKit.framework/ctkahp.bundle/Contents/MacOS/ctkahp -d
_gamecontrollerd   904   0.0  0.0 426916640   1712   ??  S     1:12PM   0:00.43 /usr/sbin/distnoted agent
kamalbush          902   0.0  0.1 426955296   9360   ??  S     1:12PM   0:00.63 /System/Library/PrivateFrameworks/NewsDaemon.framework/newsd
kamalbush          899   0.0  0.0 426916592   4000   ??  S     1:12PM   0:00.57 /usr/sbin/BTLEServerAgent
_applepay          891   0.0  0.0 426916640   1712   ??  S     1:12PM   0:00.44 /usr/sbin/distnoted agent
kamalbush          884   0.0  0.1 426968000  12064   ??  S     1:12PM   0:01.76 /System/Library/PrivateFrameworks/PassKitCore.framework/passd
kamalbush          873   0.0  0.1 426988832  11712   ??  S     1:12PM   0:03.20 /System/Library/PrivateFrameworks/AppStoreDaemon.framework/Support/appstoreagent
root               871   0.0  0.0 410755344   1808   ??  Ss    1:12PM   0:00.09 /usr/libexec/online-auth-agent
kamalbush          869   0.0  0.2 444212176  13776   ??  S     1:12PM   0:00.68 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/141.0.7390.123/Helpers/Google Chrome Helper.app/Contents/MacOS/Google Chrome Helper --type=utility --utility-sub-type=storage.mojom.StorageService --lang=en-US --service-sandbox-type=service --metrics-client-id=dacb331f-1ba4-45c4-b471-ac771b05a49e --shared-files --metrics-shmem-handle=1752395122,r,13509005886195787014,2043374098214094784,524288 --field-trial-handle=1718379636,r,16964490076867794470,7122116405275888713,262144 --variations-seed-version=20251028-010108.614000 --seatbelt-client=40
kamalbush          867   0.0  0.5 444290928  42688   ??  S     1:12PM   0:17.47 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/141.0.7390.123/Helpers/Google Chrome Helper.app/Contents/MacOS/Google Chrome Helper --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-US --service-sandbox-type=network --metrics-client-id=dacb331f-1ba4-45c4-b471-ac771b05a49e --shared-files --metrics-shmem-handle=1752395122,r,6165402951514390564,15065955473913543689,524288 --field-trial-handle=1718379636,r,16964490076867794470,7122116405275888713,262144 --variations-seed-version=20251028-010108.614000 --seatbelt-client=24
kamalbush          865   0.0  0.4 444722624  30832   ??  S     1:12PM   0:10.42 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/141.0.7390.123/Helpers/Google Chrome Helper (GPU).app/Contents/MacOS/Google Chrome Helper (GPU) --type=gpu-process --metrics-client-id=dacb331f-1ba4-45c4-b471-ac771b05a49e --gpu-preferences=SAAAAAAAAAAgAAAEAAAAAAAAAAAAAGAAAwAAAAAAAAAAAAAAAAAAAAIAAAAAAAAAAAAAAAAAAAAQAAAAAAAAABAAAAAAAAAACAAAAAAAAAAIAAAAAAAAAA== --shared-files --metrics-shmem-handle=1752395122,r,1763847204859477174,10952011618590465202,262144 --field-trial-handle=1718379636,r,16964490076867794470,7122116405275888713,262144 --variations-seed-version=20251028-010108.614000 --seatbelt-client=24
kamalbush          850   0.0  0.1 411616960   8848   ??  Ss    1:12PM   0:03.55 /System/Library/PrivateFrameworks/CloudTelemetry.framework/Versions/A/XPCServices/CloudTelemetryService.xpc/Contents/MacOS/CloudTelemetryService
kamalbush          848   0.0  0.0 443694848   1248   ??  S     1:12PM   0:00.04 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/141.0.7390.123/Helpers/chrome_crashpad_handler --monitor-self-annotation=ptype=crashpad-handler --database=/Users/kamalbush/Library/Application Support/Google/Chrome/Crashpad --metrics-dir=/Users/kamalbush/Library/Application Support/Google/Chrome --url=https://clients2.google.com/cr/report --annotation=channel= --annotation=plat=OS X --annotation=prod=Chrome_Mac --annotation=ver=141.0.7390.123 --handshake-fd=5
kamalbush          845   0.0  0.1 426963120   6784   ??  SN    1:12PM   0:06.90 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdbulkimport -s mdworker-bundle -c MDSImporterBundleFinder -m com.apple.metadata.mdbulkimport
kamalbush          844   0.0  0.1 411109136   6544   ??  Ss    1:12PM   0:00.28 /System/Applications/Music.app/Contents/XPCServices/VisualizerService.xpc/Contents/MacOS/VisualizerService
kamalbush          843   0.0  0.0 34645444   2636   ??  Ss    1:12PM   0:01.57 /System/Applications/Music.app/Contents/XPCServices/VisualizerService_x86.xpc/Contents/MacOS/VisualizerService_x86
kamalbush          841   0.0  0.2 426995536  13120   ??  S     1:12PM   0:06.24 /System/Library/PrivateFrameworks/AMPLibrary.framework/Versions/A/Support/AMPLibraryAgent --launchd
_driverkit         840   0.0  0.0 426851568    592   ??  Ss    1:12PM   0:00.03 /System/Library/DriverExtensions/IOUserBluetoothSerialDriver.dext/IOUserBluetoothSerialDriver com.apple.IOUserBluetoothSerialDriver 0x100000da0 com.apple.IOUserBluetoothSerialDriver
root               839   0.0  0.1 426950896   4464   ??  Ss    1:12PM   0:00.77 /usr/libexec/countryd
_fpsd              838   0.0  0.0 426936560   2240   ??  Ss    1:12PM   0:00.33 /System/Library/PrivateFrameworks/CoreFP.framework/Versions/A/fairplayd
kamalbush          834   0.0  0.1 426952800   5344   ??  S     1:12PM   0:00.36 /System/Library/PrivateFrameworks/AssetCacheServices.framework/Versions/A/XPCServices/AssetCacheLocatorService.xpc/Contents/MacOS/AssetCacheLocatorService -a
kamalbush          823   0.0  0.1 426979760  11552   ??  Ss    1:12PM   0:00.57 /System/Library/Input Methods/PressAndHold.app/Contents/PlugIns/PAH_Extension.appex/Contents/MacOS/PAH_Extension -AppleLanguages ("en-US")
kamalbush          822   0.0  0.1 410694112   7664   ??  S     1:12PM   0:00.13 /System/Library/Frameworks/InputMethodKit.framework/Resources/imklaunchagent
kamalbush          821   0.0  0.2 426925200  14528   ??  Ss    1:12PM   0:00.43 /System/Volumes/Preboot/Cryptexes/App/System/Applications/Safari.app/Contents/XPCServices/com.apple.Safari.SandboxBroker.xpc/Contents/MacOS/com.apple.Safari.SandboxBroker
kamalbush          820   0.0  0.1 410650752   4432   ??  S     1:12PM   0:00.40 /usr/libexec/SidecarRelay
kamalbush          819   0.0  0.2 411008256  15728   ??  S     1:12PM   0:03.30 /System/Library/PrivateFrameworks/TextInputUIMacHelper.framework/Versions/A/XPCServices/CursorUIViewService.xpc/Contents/MacOS/CursorUIViewService
kamalbush          815   0.0  0.2 426966928  14976   ??  S     1:12PM   0:23.03 /System/Library/CoreServices/UniversalControl.app/Contents/MacOS/UniversalControl
kamalbush          813   0.0  1.2 427044032 101920   ??  S     1:12PM   1:59.49 /System/Library/PrivateFrameworks/MediaAnalysis.framework/Versions/A/mediaanalysisd
kamalbush          805   0.0  0.4 427032064  34640   ??  Ss    1:12PM   0:02.34 /System/Library/CoreServices/Screen Time.app/Contents/PlugIns/ScreenTimeWidgetExtension.appex/Contents/MacOS/ScreenTimeWidgetExtension
kamalbush          808   0.0  0.1 426968160  11696   ??  S     1:12PM   0:00.28 /System/Library/CoreServices/Keychain Circle Notification.app/Contents/MacOS/Keychain Circle Notification
kamalbush          609   0.0  0.2 426971840  17856   ??  S     1:12PM   0:04.41 /System/Library/PrivateFrameworks/CoreDuetContext.framework/Resources/ContextStoreAgent
_accessoryupdater   803   0.0  0.0 426916640   1712   ??  S     1:12PM   0:00.45 /usr/sbin/distnoted agent
kamalbush          785   0.0  0.4 427014304  34960   ??  Ss    1:12PM   0:05.14 /System/Applications/News.app/Contents/PlugIns/NewsToday2.appex/Contents/MacOS/NewsToday2 -AppleLanguages ("en-US")
kamalbush          792   0.0  0.1 427058576   4704   ??  S     1:12PM   0:00.32 /System/Library/PrivateFrameworks/ContextKit.framework/Versions/A/XPCServices/ContextService.xpc/Contents/MacOS/ContextService
kamalbush          788   0.0  0.2 411258528  20272   ??  S     1:12PM   0:01.44 /System/Library/CoreServices/UIKitSystem.app/Contents/MacOS/UIKitSystem system_app_start
kamalbush          786   0.0  0.1 426954272   7680   ??  S     1:12PM   0:00.41 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/commerce
kamalbush          784   0.0  0.1 426997520   9520   ??  Ss    1:12PM   0:00.17 /System/Library/ExtensionKit/Extensions/TextThumbnailExtension.appex/Contents/MacOS/TextThumbnailExtension
kamalbush          767   0.0  0.2 427002016  15504   ??  Ss    1:12PM   0:05.29 /System/Applications/Clock.app/Contents/PlugIns/WorldClockWidget.appex/Contents/MacOS/WorldClockWidget
kamalbush          782   0.0  0.2 410901888  19328   ??  Ss    1:12PM   0:03.13 /System/Library/CoreServices/Dock.app/Contents/XPCServices/com.apple.dock.extra.xpc/Contents/MacOS/com.apple.dock.extra
kamalbush          777   0.0  0.2 426966880  17984   ??  S     1:12PM   0:05.91 /System/Library/CoreServices/audioaccessoryd
kamalbush          776   0.0  0.1 426955104   7808   ??  S     1:12PM   0:00.90 /usr/libexec/intelligentroutingd
kamalbush          619   0.0  0.2 427110880  16064   ??  S     1:12PM   0:36.36 /System/Library/CoreServices/WiFiAgent.app/Contents/MacOS/WiFiAgent
_nearbyd           775   0.0  0.1 426963104  10464   ??  Ss    1:12PM   0:34.20 /usr/libexec/nearbyd
kamalbush          774   0.0  0.1 426902464  11280   ??  Ss    1:12PM   0:00.26 /System/Library/Frameworks/QuickLookUI.framework/Versions/A/XPCServices/QuickLookUIService.xpc/Contents/MacOS/QuickLookUIService
kamalbush          773   0.0  0.1 426950368   8800   ??  S     1:12PM   0:00.18 /System/Library/PrivateFrameworks/EmailDaemon.framework/Versions/A/maild
kamalbush          771   0.0  0.0 499492496   4080   ??  Ss    1:12PM   0:08.59 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent
kamalbush          770   0.0  0.3 411121456  28880   ??  Ss    1:12PM   0:16.79 /System/Library/Frameworks/AppKit.framework/Versions/C/XPCServices/com.apple.appkit.xpc.openAndSavePanelService.xpc/Contents/MacOS/com.apple.appkit.xpc.openAndSavePanelService
root               421   0.0  0.0 426916416   3776   ??  Ss    1:12PM   0:00.60 /System/Library/CoreServices/TimeMachine/backupd-helper -launchd
kamalbush          766   0.0  0.1 427014848   9440   ??  Ss    1:12PM   0:01.05 /System/Library/ExtensionKit/Extensions/ImageThumbnailExtension.appex/Contents/MacOS/ImageThumbnailExtension
kamalbush          765   0.0  0.0 426950272   2624   ??  S     1:12PM   0:00.04 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdwrite
kamalbush          764   0.0  0.2 426974176  14784   ??  Ss    1:12PM   0:01.43 /System/Library/PrivateFrameworks/CloudDocs.framework/PlugIns/com.apple.CloudDocs.iCloudDriveFileProvider.appex/Contents/MacOS/com.apple.CloudDocs.iCloudDriveFileProvider
kamalbush          755   0.0  0.3 432415024  21904   ??  S     1:12PM   0:23.15 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/corespotlightd
kamalbush          756   0.0  0.1 426970528   5712   ??  S     1:12PM   0:06.23 /System/Library/PrivateFrameworks/SafariSafeBrowsing.framework/com.apple.Safari.SafeBrowsing.Service
kamalbush          749   0.0  0.5 412920368  43168   ??  S     1:12PM   0:06.97 /System/Library/CoreServices/Spotlight.app/Contents/MacOS/Spotlight
kamalbush          743   0.0  0.1 410929360   9328   ??  Ss    1:12PM   0:07.23 /System/Library/ExtensionKit/Extensions/WallpaperVideoExtension.appex/Contents/MacOS/WallpaperVideoExtension
kamalbush          697   0.0  0.1 427007584   9584   ??  Ss    1:12PM   0:00.65 /System/Applications/Calendar.app/Contents/PlugIns/CalendarWidgetExtension.appex/Contents/MacOS/CalendarWidgetExtension
kamalbush          741   0.0  0.1 427115984   7056   ??  Ss    1:12PM   0:00.23 /System/Library/PrivateFrameworks/SafariShared.framework/Versions/A/XPCServices/com.apple.Safari.SearchHelper.xpc/Contents/MacOS/com.apple.Safari.SearchHelper
kamalbush          740   0.0  0.2 426980240  14256   ??  S     1:12PM   0:02.57 /System/Library/Frameworks/Translation.framework/translationd
kamalbush          738   0.0  0.1 426955952  11632   ??  S     1:12PM   0:03.42 /System/Library/PrivateFrameworks/iTunesCloud.framework/Support/itunescloudd
kamalbush          737   0.0  0.3 431510912  29216   ??  Ss    1:12PM   1:06.04 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.Networking.xpc/Contents/MacOS/com.apple.WebKit.Networking
kamalbush          730   0.0  0.1 426950960   8576   ??  S     1:12PM   0:00.65 /System/Library/PrivateFrameworks/Synapse.framework/Support/contentlinkingd
kamalbush          729   0.0  0.1 427116096  11648   ??  S     1:12PM   0:01.71 /System/Cryptexes/App/System/Library/CoreServices/SafariSupport.bundle/Contents/MacOS/SafariBookmarksSyncAgent
kamalbush          727   0.0  0.2 426957728  14016   ??  S     1:12PM   0:02.00 /System/Library/PrivateFrameworks/CoreParsec.framework/parsecd
_oahd              728   0.0  0.0 426912784   1280   ??  Ss    1:12PM   0:00.47 /usr/libexec/rosetta/oahd
kamalbush          721   0.0  0.1 426949984   5152   ??  S     1:12PM   0:00.27 /System/Library/Frameworks/AudioToolbox.framework/AudioComponentRegistrar
kamalbush          720   0.0  0.0 426916720   2112   ??  S     1:12PM   0:00.06 /System/Library/Frameworks/MediaAccessibility.framework/Versions/A/XPCServices/com.apple.accessibility.mediaaccessibilityd.xpc/Contents/MacOS/com.apple.accessibility.mediaaccessibilityd
kamalbush          717   0.0  0.1 426950016   5568   ??  S     1:12PM   0:00.13 /System/Cryptexes/App/usr/libexec/SafariNotificationAgent
root               718   0.0  0.0 426924928   1264   ??  Ss    1:12PM   0:00.03 /System/Library/Frameworks/OpenGL.framework/Versions/A/Libraries/CVMServer
kamalbush          716   0.0  0.6 500997568  46176   ??  Ss    1:12PM   3:00.41 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent
kamalbush          707   0.0  0.2 426980880  17152   ??  S     1:12PM   0:21.02 /System/Library/PrivateFrameworks/FileProvider.framework/Support/fileproviderd
kamalbush          706   0.0  0.1 427098032   9376   ??  S     1:12PM   0:01.25 /System/Cryptexes/App/usr/libexec/com.apple.Safari.History
root               710   0.0  0.2 426961680  12768   ??  Ss    1:12PM   0:06.11 /usr/libexec/gamepolicyd
root               705   0.0  0.0 426917920   1616   ??  Ss    1:12PM   0:00.04 automountd
kamalbush          704   0.0  0.2 426970176  13856   ??  S     1:12PM   0:03.14 /System/Library/PrivateFrameworks/CalendarDaemon.framework/Support/calaccessd
kamalbush          701   0.0  0.1 426973600   5392   ??  S     1:12PM   0:00.80 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/ATS.framework/Versions/A/Support/fontworker
kamalbush          702   0.0  0.2 427552048  16080   ??  S     1:12PM   0:05.40 /System/Library/Frameworks/QuickLookThumbnailing.framework/Support/com.apple.quicklook.ThumbnailsAgent
kamalbush          703   0.0  0.2 427242208  18368   ??  Ss    1:12PM   0:01.24 /System/Library/Frameworks/QuickLookUI.framework/Versions/A/XPCServices/QuickLookUIService.xpc/Contents/MacOS/QuickLookUIService
kamalbush          698   0.0  0.2 411273664  18640   ??  S     1:12PM   0:00.81 /System/Library/CoreServices/WallpaperAgent.app/Contents/MacOS/WallpaperAgent
root               699   0.0  0.1 426926848  10384   ??  Ss    1:12PM   0:01.84 /usr/sbin/filecoordinationd
kamalbush          692   0.0  0.2 427192480  20000   ??  S     1:12PM   0:25.67 /System/Library/PrivateFrameworks/CoreSuggestions.framework/Versions/A/Support/suggestd
kamalbush          694   0.0  0.1 426928560   7936   ??  Ss    1:12PM   0:00.86 /System/Library/Frameworks/ExtensionFoundation.framework/Versions/A/XPCServices/extensionkitservice.xpc/Contents/MacOS/extensionkitservice
kamalbush          693   0.0  0.7 412167792  58656   ??  S     1:12PM   1:00.07 /System/Library/CoreServices/Finder.app/Contents/MacOS/Finder
kamalbush          691   0.0  0.2 411256528  13248   ??  S     1:12PM   0:00.52 /System/Library/CoreServices/SystemUIServer.app/Contents/MacOS/SystemUIServer
kamalbush          690   0.0  0.5 411809920  39872   ??  S     1:12PM   0:22.32 /System/Library/CoreServices/ControlCenter.app/Contents/MacOS/ControlCenter
kamalbush          689   0.0  0.1 426951008   8032   ??  S     1:12PM   0:03.72 /System/Library/Frameworks/ApplicationServices.framework/Frameworks/ATS.framework/Support/fontd
kamalbush          687   0.0  0.3 411999920  26336   ??  S     1:12PM   0:11.37 /System/Library/CoreServices/Dock.app/Contents/MacOS/Dock
kamalbush          683   0.0  0.1 426908688   7024   ??  S     1:12PM   0:00.87 /usr/libexec/avconferenced
kamalbush          682   0.0  0.4 412185808  32080   ??  S     1:12PM   0:14.45 /System/Applications/Music.app/Contents/MacOS/Music
kamalbush          681   0.0  0.3 412195408  24352   ??  S     1:12PM   0:05.14 /System/Applications/Notes.app/Contents/MacOS/Notes
kamalbush          676   0.0  0.1 426951296   9824   ??  S     1:12PM   0:01.92 /System/Library/PrivateFrameworks/UserActivity.framework/Agents/useractivityd
kamalbush          678   0.0  1.1 478313200  95424   ??  S     1:12PM   0:30.29 /Applications/Google Chrome.app/Contents/MacOS/Google Chrome
kamalbush          675   0.0  0.1 426963696  10752   ??  S     1:12PM   0:06.53 /usr/libexec/neagent
kamalbush          672   0.0  0.1 426952192  10368   ??  S     1:12PM   0:01.33 /usr/libexec/bluetoothuserd
kamalbush          674   0.0  0.3 427461680  29280   ??  S     1:12PM   0:05.65 /System/Applications/Messages.app/Contents/MacOS/Messages
_fpsd              673   0.0  0.0 426919840   2928   ??  Ss    1:12PM   0:01.76 /System/Library/PrivateFrameworks/CoreADI.framework/adid
kamalbush          670   0.0  0.1 410497888   9136   ??  S     1:12PM   0:01.89 /System/Library/PrivateFrameworks/ViewBridge.framework/Versions/A/XPCServices/ViewBridgeAuxiliary.xpc/Contents/MacOS/ViewBridgeAuxiliary
kamalbush          669   0.0  0.0 426912032   1888   ??  S     1:12PM   0:00.04 /System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoteagent
kamalbush          667   0.0  0.3 427244208  24256   ??  S     1:12PM   0:01.93 /System/Library/CoreServices/iconservicesagent
kamalbush          666   0.0  0.1 426952288   6272   ??  S     1:12PM   0:00.47 /System/Library/CoreServices/sharedfilelistd
kamalbush          660   0.0  0.3 426999952  25008   ??  S     1:12PM   0:30.75 /usr/libexec/duetexpertd
kamalbush          664   0.0  0.2 426961088  12928   ??  S     1:12PM   0:19.09 /usr/libexec/siriknowledged
kamalbush          658   0.0  0.2 426975392  13568   ??  S     1:12PM   0:15.44 /usr/libexec/networkserviceproxy
kamalbush          661   0.0  0.2 426988000  13104   ??  S     1:12PM   0:02.97 /usr/libexec/linkd
kamalbush          659   0.0  0.1 426962000  11744   ??  S     1:12PM   0:07.94 /usr/libexec/swcd
kamalbush          656   0.0  0.2 426990000  17936   ??  S     1:12PM   0:01.66 /System/Library/PrivateFrameworks/VoiceShortcuts.framework/Versions/A/Support/siriactionsd
kamalbush          665   0.0  0.2 411254800  13520   ??  S     1:12PM   0:00.37 /System/Library/PrivateFrameworks/AppSSO.framework/Support/AppSSOAgent.app/Contents/MacOS/AppSSOAgent
kamalbush          649   0.0  0.1 426952528   9872   ??  S     1:12PM   0:02.72 /usr/libexec/ContinuityCaptureAgent server
kamalbush          655   0.0  0.2 426965280  13616   ??  S     1:12PM   0:16.77 /System/Library/PrivateFrameworks/iCloudDriveCore.framework/Versions/A/Support/bird
kamalbush          654   0.0  0.2 426972128  17568   ??  S     1:12PM   0:07.00 /System/Library/PrivateFrameworks/AssistantServices.framework/Versions/A/Support/assistantd
kamalbush          651   0.0  0.2 426983296  16512   ??  S     1:12PM   0:15.47 /usr/libexec/searchpartyuseragent
kamalbush          648   0.0  0.2 426960240  13696   ??  S     1:12PM   0:04.24 /System/Library/PrivateFrameworks/IMCore.framework/imagent.app/Contents/MacOS/imagent
kamalbush          647   0.0  0.2 426963376  14432   ??  S     1:12PM   0:04.10 /System/Library/PrivateFrameworks/HomeKitDaemon.framework/Support/homed
kamalbush          646   0.0  0.2 426990384  14912   ??  S     1:12PM   0:41.48 /System/Library/PrivateFrameworks/ChronoCore.framework/Support/chronod
kamalbush          643   0.0  0.2 426958112  17648   ??  S     1:12PM   0:02.95 /System/Library/PrivateFrameworks/AuthKit.framework/Versions/A/Support/akd
kamalbush          642   0.0  0.1 426960576  10064   ??  S     1:12PM   0:00.82 /System/Library/PrivateFrameworks/StatusKit.framework/StatusKitAgent
kamalbush          641   0.0  0.1 427010560   9168   ??  S     1:12PM   0:31.33 /System/Library/PrivateFrameworks/ReplicatorCore.framework/Support/replicatord
root               640   0.0  0.1 426951808   6448   ??  Ss    1:12PM   0:02.69 /usr/libexec/wifianalyticsd
kamalbush          637   0.0  0.1 426956176   9680   ??  S     1:12PM   0:00.87 /System/Library/PrivateFrameworks/FamilyCircle.framework/Versions/A/Resources/familycircled
kamalbush          635   0.0  0.4 412161120  30496   ??  S     1:12PM   0:20.53 /System/Library/CoreServices/NotificationCenter.app/Contents/MacOS/NotificationCenter
kamalbush          634   0.0  0.1 426958160  11520   ??  S     1:12PM   0:01.43 /System/Library/PrivateFrameworks/DoNotDisturbServer.framework/Support/donotdisturbd
kamalbush          633   0.0  0.3 426978944  21120   ??  S     1:12PM   0:42.68 /usr/libexec/sharingd
kamalbush          614   0.0  0.2 426962544  13632   ??  S     1:12PM   0:05.11 /System/Library/PrivateFrameworks/UserNotificationsCore.framework/Support/usernotificationsd
kamalbush          632   0.0  0.1 426961728  10848   ??  S     1:12PM   0:01.25 /usr/libexec/pkd
_ctkd              631   0.0  0.0 426916848   2448   ??  Ss    1:12PM   0:00.05 /System/Library/Frameworks/CryptoTokenKit.framework/ctkd -st
kamalbush          630   0.0  0.1 426950576  10000   ??  S     1:12PM   0:01.18 /System/Library/Frameworks/LocalAuthentication.framework/Support/coreauthd
root               629   0.0  0.0 426951072   3744   ??  Ss    1:12PM   0:00.14 /System/Library/PrivateFrameworks/WirelessDiagnostics.framework/Support/awdd
kamalbush          628   0.0  0.1 426950432   6768   ??  S     1:12PM   0:00.55 /System/Library/Frameworks/CryptoTokenKit.framework/ctkd -tw
kamalbush          627   0.0  0.2 426967776  12688   ??  S     1:12PM   0:03.98 /usr/libexec/transparencyd
kamalbush          625   0.0  0.2 426963760  17024   ??  S     1:12PM   0:08.90 /System/Library/PrivateFrameworks/TCC.framework/Support/tccd
kamalbush          624   0.0  0.1 426968752  11344   ??  S     1:12PM   0:01.62 /System/Library/PrivateFrameworks/SyncedDefaults.framework/Support/syncdefaultsd
kamalbush          623   0.0  0.2 426967888  15808   ??  S     1:12PM   0:02.79 /System/Library/PrivateFrameworks/TelephonyUtilities.framework/callservicesd
kamalbush          622   0.0  0.2 427110064  13072   ??  S     1:12PM   0:00.42 /System/Library/CoreServices/CoreLocationAgent.app/Contents/MacOS/CoreLocationAgent
kamalbush          621   0.0  0.2 426963472  12944   ??  S     1:12PM   0:01.35 /System/Library/PrivateFrameworks/ScreenTimeCore.framework/Versions/A/ScreenTimeAgent
kamalbush          617   0.0  0.1 426956192  11008   ??  S     1:12PM   0:25.99 /usr/libexec/trustd --agent
kamalbush          615   0.0  0.2 426975648  19088   ??  S     1:12PM   0:41.95 /System/Library/PrivateFrameworks/CloudKitDaemon.framework/Support/cloudd
kamalbush          612   0.0  0.1 426950624   6192   ??  S     1:12PM   0:02.14 /System/Library/CoreServices/lockoutagent
kamalbush          613   0.0  0.1 426962464   9568   ??  S     1:12PM   0:02.78 /usr/libexec/secinitd
kamalbush          611   0.0  0.2 426973488  18496   ??  S     1:12PM   0:15.55 /usr/libexec/routined LAUNCHED_BY_LAUNCHD
kamalbush          610   0.0  0.2 426964672  18464   ??  S     1:12PM   0:01.94 /usr/sbin/usernoted
kamalbush          608   0.0  0.2 426964336  16496   ??  S     1:12PM   0:14.25 /usr/libexec/rapportd
kamalbush          607   0.0  0.1 426975744  12192   ??  S     1:12PM   0:13.78 /usr/libexec/nsurlsessiond
kamalbush          604   0.0  0.1 426963776  11504   ??  S     1:12PM   0:00.95 /System/Library/Frameworks/CoreTelephony.framework/Support/CommCenter -L
kamalbush          603   0.0  0.2 426951440  13312   ??  S     1:12PM   0:17.02 /System/Library/PrivateFrameworks/BiomeStreams.framework/Support/BiomeAgent
kamalbush          602   0.0  0.3 426986928  22208   ??  S     1:12PM   0:13.71 /System/Library/PrivateFrameworks/IDS.framework/identityservicesd.app/Contents/MacOS/identityservicesd
kamalbush          599   0.0  0.1 426953456   9680   ??  S     1:12PM   0:21.62 /usr/libexec/triald
kamalbush          598   0.0  0.1 426991424  12560   ??  S     1:12PM   0:07.72 /System/Library/Frameworks/Accounts.framework/Versions/A/Support/accountsd
kamalbush          597   0.0  0.1 426949312   7024   ??  S     1:12PM   0:02.41 /usr/libexec/containermanagerd --runmode=agent --user-container-mode=current --bundle-container-mode=proxy --system-container-mode=none
kamalbush          594   0.0  0.2 426987088  12720   ??  S     1:12PM   0:06.87 /System/Library/CoreServices/talagentd
kamalbush          593   0.0  0.0 426916816   3744   ??  S     1:12PM   0:00.89 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/HIServices.framework/Versions/A/XPCServices/com.apple.hiservices-xpcservice.xpc/Contents/MacOS/com.apple.hiservices-xpcservice
_appleevents       590   0.0  0.0 426916640   1712   ??  S     1:12PM   0:00.45 /usr/sbin/distnoted agent
